selectivity_name,selectivity_frac,ef,method,recall_at_k,search_time_s
open,0.3987,50,RBAC-HNSW (filter),0.1765,0.4004
open,0.3987,50,Post-filter baseline,0.1665,0.4262
open,0.3987,100,RBAC-HNSW (filter),0.3025,0.8333
open,0.3987,100,Post-filter baseline,0.293,0.854
open,0.3987,200,RBAC-HNSW (filter),0.4735,1.4757
open,0.3987,200,Post-filter baseline,0.4665,1.5051
open,0.3987,400,RBAC-HNSW (filter),0.663,2.2111
open,0.3987,400,Post-filter baseline,0.6645,2.2419
open,0.3987,800,RBAC-HNSW (filter),0.8595,3.874
open,0.3987,800,Post-filter baseline,0.8625,3.8524
medium,0.0157,50,RBAC-HNSW (filter),0.909,5.1154
medium,0.0157,50,Post-filter baseline,0.893,5.1239
medium,0.0157,100,RBAC-HNSW (filter),0.984,7.7622
medium,0.0157,100,Post-filter baseline,0.979,7.8515
medium,0.0157,200,RBAC-HNSW (filter),0.9985,11.3254
medium,0.0157,200,Post-filter baseline,0.9985,11.5544
medium,0.0157,400,RBAC-HNSW (filter),1.0,15.332
medium,0.0157,400,Post-filter baseline,1.0,15.3889
medium,0.0157,800,RBAC-HNSW (filter),1.0,19.9058
medium,0.0157,800,Post-filter baseline,1.0,19.6319
restricted,0.0037,50,RBAC-HNSW (filter),1.0,11.2537
restricted,0.0037,50,Post-filter baseline,0.999,11.1759
restricted,0.0037,100,RBAC-HNSW (filter),1.0,15.6802
restricted,0.0037,100,Post-filter baseline,1.0,15.8662
restricted,0.0037,200,RBAC-HNSW (filter),1.0,19.5962
restricted,0.0037,200,Post-filter baseline,1.0,19.6325
restricted,0.0037,400,RBAC-HNSW (filter),1.0,20.0925
restricted,0.0037,400,Post-filter baseline,1.0,19.5931
restricted,0.0037,800,RBAC-HNSW (filter),1.0,19.6579
restricted,0.0037,800,Post-filter baseline,1.0,19.8802
strict,0.0002,50,RBAC-HNSW (filter),1.0,19.6493
strict,0.0002,50,Post-filter baseline,1.0,19.4854
strict,0.0002,100,RBAC-HNSW (filter),1.0,20.1021
strict,0.0002,100,Post-filter baseline,1.0,19.6719
strict,0.0002,200,RBAC-HNSW (filter),1.0,19.8024
strict,0.0002,200,Post-filter baseline,1.0,19.6439
strict,0.0002,400,RBAC-HNSW (filter),1.0,19.8161
strict,0.0002,400,Post-filter baseline,1.0,19.8147
strict,0.0002,800,RBAC-HNSW (filter),1.0,20.1479
strict,0.0002,800,Post-filter baseline,1.0,19.7813
ultra,0.0,50,RBAC-HNSW (filter),0.0,0.0252
ultra,0.0,50,Post-filter baseline,0.0,0.0239
ultra,0.0,100,RBAC-HNSW (filter),0.0,0.0247
ultra,0.0,100,Post-filter baseline,0.0,0.0251
ultra,0.0,200,RBAC-HNSW (filter),0.0,0.0245
ultra,0.0,200,Post-filter baseline,0.0,0.0244
ultra,0.0,400,RBAC-HNSW (filter),0.0,0.0244
ultra,0.0,400,Post-filter baseline,0.0,0.0237
ultra,0.0,800,RBAC-HNSW (filter),0.0,0.0244
ultra,0.0,800,Post-filter baseline,0.0,0.0245
