selectivity_name,selectivity_frac,ef,method,qps
open,0.3987,50,RBAC-HNSW (filter),528.48
open,0.3987,50,Post-filter baseline,538.45
open,0.3987,100,RBAC-HNSW (filter),300.95
open,0.3987,100,Post-filter baseline,300.56
open,0.3987,200,RBAC-HNSW (filter),165.99
open,0.3987,200,Post-filter baseline,165.84
open,0.3987,400,RBAC-HNSW (filter),91.96
open,0.3987,400,Post-filter baseline,93.19
open,0.3987,800,RBAC-HNSW (filter),54.1
open,0.3987,800,Post-filter baseline,54.08
open,0.3987,-1,Pre-filter (brute-force),3339.73
medium,0.0157,50,RBAC-HNSW (filter),39.56
medium,0.0157,50,Post-filter baseline,39.46
medium,0.0157,100,RBAC-HNSW (filter),25.66
medium,0.0157,100,Post-filter baseline,26.24
medium,0.0157,200,RBAC-HNSW (filter),18.08
medium,0.0157,200,Post-filter baseline,18.13
medium,0.0157,400,RBAC-HNSW (filter),13.04
medium,0.0157,400,Post-filter baseline,13.07
medium,0.0157,800,RBAC-HNSW (filter),10.15
medium,0.0157,800,Post-filter baseline,10.05
medium,0.0157,-1,Pre-filter (brute-force),37048.01
restricted,0.0037,50,RBAC-HNSW (filter),17.84
restricted,0.0037,50,Post-filter baseline,17.61
restricted,0.0037,100,RBAC-HNSW (filter),12.65
restricted,0.0037,100,Post-filter baseline,12.79
restricted,0.0037,200,RBAC-HNSW (filter),10.18
restricted,0.0037,200,Post-filter baseline,9.92
restricted,0.0037,400,RBAC-HNSW (filter),10.09
restricted,0.0037,400,Post-filter baseline,10.2
restricted,0.0037,800,RBAC-HNSW (filter),10.18
restricted,0.0037,800,Post-filter baseline,10.1
restricted,0.0037,-1,Pre-filter (brute-force),61061.24
strict,0.0002,50,RBAC-HNSW (filter),9.94
strict,0.0002,50,Post-filter baseline,9.98
strict,0.0002,100,RBAC-HNSW (filter),10.15
strict,0.0002,100,Post-filter baseline,10.18
strict,0.0002,200,RBAC-HNSW (filter),10.02
strict,0.0002,200,Post-filter baseline,9.94
strict,0.0002,400,RBAC-HNSW (filter),10.01
strict,0.0002,400,Post-filter baseline,10.08
strict,0.0002,800,RBAC-HNSW (filter),9.94
strict,0.0002,800,Post-filter baseline,10.1
strict,0.0002,-1,Pre-filter (brute-force),91037.37
ultra,0.0,50,RBAC-HNSW (filter),8403.08
ultra,0.0,50,Post-filter baseline,8141.47
ultra,0.0,100,RBAC-HNSW (filter),8901.55
ultra,0.0,100,Post-filter baseline,8886.76
ultra,0.0,200,RBAC-HNSW (filter),8597.34
ultra,0.0,200,Post-filter baseline,5892.99
ultra,0.0,400,RBAC-HNSW (filter),8189.54
ultra,0.0,400,Post-filter baseline,8323.35
ultra,0.0,800,RBAC-HNSW (filter),5503.64
ultra,0.0,800,Post-filter baseline,6535.54
ultra,0.0,-1,Pre-filter (brute-force),1947419.74
