n_vectors,selectivity_name,selectivity_frac,n_accessible,ef,method,recall_at_10,qps
200000,open,0.399055,79811,10,RBAC-HNSW,0.0156,1116.76
200000,open,0.399055,79811,10,Post-filter,0.005,2731.9
200000,open,0.399055,79811,20,RBAC-HNSW,0.0316,720.86
200000,open,0.399055,79811,20,Post-filter,0.0112,1669.11
200000,open,0.399055,79811,50,RBAC-HNSW,0.0716,319.58
200000,open,0.399055,79811,50,Post-filter,0.033,766.14
200000,open,0.399055,79811,100,RBAC-HNSW,0.1232,171.13
200000,open,0.399055,79811,100,Post-filter,0.059,455.81
200000,open,0.399055,79811,200,RBAC-HNSW,0.2008,101.81
200000,open,0.399055,79811,200,Post-filter,0.1062,263.91
200000,open,0.399055,79811,400,RBAC-HNSW,0.3192,54.33
200000,open,0.399055,79811,400,Post-filter,0.1822,143.39
200000,open,0.399055,79811,800,RBAC-HNSW,0.4706,28.19
200000,open,0.399055,79811,800,Post-filter,0.2738,80.08
200000,open,0.399055,79811,-1,Brute-force,1.0,423.22
200000,medium,0.01539,3078,10,RBAC-HNSW,0.183,80.94
200000,medium,0.01539,3078,10,Post-filter,0.006,3338.31
200000,medium,0.01539,3078,20,RBAC-HNSW,0.3062,46.38
200000,medium,0.01539,3078,20,Post-filter,0.011,1927.08
200000,medium,0.01539,3078,50,RBAC-HNSW,0.5326,20.72
200000,medium,0.01539,3078,50,Post-filter,0.0222,922.7
200000,medium,0.01539,3078,100,RBAC-HNSW,0.7266,12.14
200000,medium,0.01539,3078,100,Post-filter,0.04,520.42
200000,medium,0.01539,3078,200,RBAC-HNSW,0.8862,7.75
200000,medium,0.01539,3078,200,Post-filter,0.0722,290.36
200000,medium,0.01539,3078,400,RBAC-HNSW,0.972,5.32
200000,medium,0.01539,3078,400,Post-filter,0.1258,160.49
200000,medium,0.01539,3078,800,RBAC-HNSW,0.9976,3.71
200000,medium,0.01539,3078,800,Post-filter,0.2114,88.65
200000,medium,0.01539,3078,-1,Brute-force,1.0,990.76
200000,restricted,0.003735,747,10,RBAC-HNSW,0.4674,25.79
200000,restricted,0.003735,747,10,Post-filter,0.0038,3646.5
200000,restricted,0.003735,747,20,RBAC-HNSW,0.6636,15.51
200000,restricted,0.003735,747,20,Post-filter,0.0084,2273.22
200000,restricted,0.003735,747,50,RBAC-HNSW,0.8882,8.05
200000,restricted,0.003735,747,50,Post-filter,0.0182,981.8
200000,restricted,0.003735,747,100,RBAC-HNSW,0.9738,5.19
200000,restricted,0.003735,747,100,Post-filter,0.0368,567.81
200000,restricted,0.003735,747,200,RBAC-HNSW,0.9982,3.63
200000,restricted,0.003735,747,200,Post-filter,0.0654,289.78
200000,restricted,0.003735,747,400,RBAC-HNSW,1.0,2.54
200000,restricted,0.003735,747,400,Post-filter,0.1138,162.37
200000,restricted,0.003735,747,800,RBAC-HNSW,1.0,1.77
200000,restricted,0.003735,747,800,Post-filter,0.2084,85.37
200000,restricted,0.003735,747,-1,Brute-force,1.0,18669.43
200000,strict,0.000215,43,10,RBAC-HNSW,0.9898,4.12
200000,strict,0.000215,43,10,Post-filter,0.0,3189.06
200000,strict,0.000215,43,20,RBAC-HNSW,0.9998,2.75
200000,strict,0.000215,43,20,Post-filter,0.0004,2284.7
200000,strict,0.000215,43,50,RBAC-HNSW,1.0,1.68
200000,strict,0.000215,43,50,Post-filter,0.0008,999.61
200000,strict,0.000215,43,100,RBAC-HNSW,1.0,1.62
200000,strict,0.000215,43,100,Post-filter,0.0022,478.59
200000,strict,0.000215,43,200,RBAC-HNSW,1.0,1.69
200000,strict,0.000215,43,200,Post-filter,0.004,469.59
200000,strict,0.000215,43,400,RBAC-HNSW,1.0,3.17
200000,strict,0.000215,43,400,Post-filter,0.0078,250.09
200000,strict,0.000215,43,800,RBAC-HNSW,1.0,3.26
200000,strict,0.000215,43,800,Post-filter,0.0178,152.86
200000,strict,0.000215,43,-1,Brute-force,1.0,59210.14
200000,ultra,0.0,0,10,RBAC-HNSW,1.0,15999989.93
200000,ultra,0.0,0,10,Post-filter,1.0,21739102.44
200000,ultra,0.0,0,20,RBAC-HNSW,1.0,25000082.49
200000,ultra,0.0,0,20,Post-filter,1.0,33898381.4
200000,ultra,0.0,0,50,RBAC-HNSW,1.0,29850778.31
200000,ultra,0.0,0,50,Post-filter,1.0,37735768.94
200000,ultra,0.0,0,100,RBAC-HNSW,1.0,26666670.57
200000,ultra,0.0,0,100,Post-filter,1.0,25316542.72
200000,ultra,0.0,0,200,RBAC-HNSW,1.0,25974024.54
200000,ultra,0.0,0,200,Post-filter,1.0,36363744.32
200000,ultra,0.0,0,400,RBAC-HNSW,1.0,27777790.83
200000,ultra,0.0,0,400,Post-filter,1.0,30769134.25
200000,ultra,0.0,0,800,RBAC-HNSW,1.0,28571448.6
200000,ultra,0.0,0,800,Post-filter,1.0,37036954.63
200000,ultra,0.0,0,-1,Brute-force,1.0,297265.16
